episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
81,-888.5999999999989,1.0916666666666666,5.993333333333333,231,0,242
82,-725.549999999999,0.95,3.9583333333333335,229,0,242
83,-660.0499999999984,0.865,3.835,200,0,242
84,-843.7999999999986,1.0783333333333334,4.8133333333333335,289,0,244
85,-865.4499999999991,1.0966666666666667,5.101666666666667,231,0,242
86,-857.5499999999987,1.1,4.791666666666667,229,0,244
87,-899.5999999999988,1.1233333333333333,5.61,214,0,242
88,-857.3999999999985,1.0733333333333333,5.343333333333334,336,0,242
89,-859.249999999999,1.0766666666666667,5.3966666666666665,237,0,243
90,-1058.2499999999984,1.305,6.53,276,0,243
91,-739.8999999999982,0.955,4.306666666666667,248,0,242
92,-785.399999999999,1.0133333333333334,4.423333333333333,266,0,242
93,-772.9499999999994,0.9716666666666667,4.96,387,0,243
94,-877.8999999999985,1.105,5.296666666666667,311,0,242
95,-800.6999999999987,1.03,4.533333333333333,243,0,242
96,-1043.4999999999995,1.2633333333333334,7.038333333333333,263,0,243
97,-594.0499999999994,0.795,3.295,232,0,242
98,-895.0999999999983,1.1183333333333334,5.54,288,0,242
99,-754.1999999999991,0.975,4.303333333333334,256,0,242
100,-549.2499999999995,0.7133333333333334,3.6466666666666665,286,0,233
