episode,episode_reward,avg_total_q,avg_total_w,switches,collisions_sum,arrivals_sum
62,-1101.85,1.3466666666666667,7.016666666666667,280,0,245
63,-976.8499999999977,1.2283333333333333,5.66,273,0,245
64,-1125.2499999999993,1.3916666666666666,6.716666666666667,244,0,245
65,-1083.4999999999989,1.3333333333333333,6.756666666666667,240,0,246
66,-984.7499999999982,1.2166666666666666,6.266666666666667,258,0,247
67,-965.6999999999975,1.2083333333333333,5.788333333333333,253,0,245
68,-975.3499999999975,1.2183333333333333,5.84,312,0,245
69,-977.1499999999978,1.2283333333333333,5.66,290,0,245
70,-1222.1000000000001,1.5033333333333334,7.233333333333333,300,0,244
71,-1116.4499999999985,1.37,6.955,275,0,246
72,-976.8499999999977,1.2283333333333333,5.66,277,0,245
73,-1014.8999999999978,1.2633333333333334,6.09,303,0,246
74,-1118.0999999999985,1.3716666666666666,6.888333333333334,378,0,245
75,-1241.0000000000007,1.5016666666666667,7.863333333333333,377,0,244
76,-1146.699999999999,1.41,6.958333333333333,260,0,243
77,-1171.2500000000007,1.4366666666666668,7.128333333333333,292,0,244
78,-1263.5000000000032,1.5216666666666667,8.185,278,0,245
79,-1311.4000000000005,1.5766666666666667,8.438333333333333,301,0,243
80,-953.4999999999983,1.18,6.03,299,0,244
81,-1095.699999999999,1.3533333333333333,6.59,323,0,244
82,-1053.449999999999,1.3133333333333332,6.171666666666667,288,0,244
83,-976.8499999999977,1.2283333333333333,5.66,272,0,245
84,-1130.7500000000032,1.3816666666666666,7.11,313,0,245
85,-1029.849999999999,1.28,6.145,368,0,244
86,-1224.3499999999995,1.4883333333333333,7.68,294,0,245
87,-977.1499999999977,1.2283333333333333,5.66,287,0,245
88,-1208.9499999999994,1.4833333333333334,7.283333333333333,276,0,243
89,-920.1499999999977,1.1583333333333334,5.45,281,0,245
90,-976.8499999999977,1.2283333333333333,5.66,271,0,245
91,-949.0999999999973,1.175,6.066666666666666,269,0,246
92,-1022.6499999999978,1.2866666666666666,5.806666666666667,268,0,245
93,-976.8499999999977,1.2283333333333333,5.66,271,0,245
94,-905.4499999999978,1.14,5.411666666666667,333,0,246
95,-1067.0999999999988,1.3183333333333334,6.508333333333334,310,0,245
96,-976.8499999999977,1.2283333333333333,5.66,285,0,245
97,-1016.1999999999975,1.2533333333333334,6.36,322,0,244
98,-989.7499999999972,1.2383333333333333,5.826666666666667,311,0,243
99,-920.1499999999977,1.1583333333333334,5.45,227,0,245
