episode,episode_reward,avg_total_q,avg_total_w,switches
63,-1249.8999999999999,1.3616666666666666,8.723333333333333,248
64,-963.6999999999995,1.12,4.993333333333333,242
65,-1241.5500000000004,1.4283333333333332,6.845,242
66,-1411.650000000001,1.605,8.245,263
67,-1498.65,1.6633333333333333,9.805,242
68,-1094.0999999999995,1.275,5.63,223
69,-1097.1500000000005,1.2633333333333334,6.001666666666667,217
70,-981.7499999999998,1.1416666666666666,5.085,208
71,-1261.7000000000003,1.4266666666666667,7.566666666666666,228
72,-1279.4499999999998,1.465,7.198333333333333,259
73,-1158.1500000000003,1.3166666666666667,6.725,201
74,-1219.4999999999998,1.395,6.92,132
75,-1117.3000000000004,1.275,6.3933333333333335,176
76,-1114.4999999999995,1.29,5.92,199
77,-1062.3,1.2283333333333333,5.66,182
78,-1226.6999999999998,1.3933333333333333,7.2,251
79,-1064.2,1.2233333333333334,5.843333333333334,261
80,-1161.6000000000001,1.3533333333333333,5.96,274
81,-1166.2499999999998,1.3483333333333334,6.245,279
82,-1063.8999999999999,1.2233333333333334,5.843333333333334,247
83,-975.7499999999997,1.1183333333333334,5.415,200
84,-1157.55,1.3266666666666667,6.475,230
85,-1207.6999999999998,1.3966666666666667,6.486666666666666,186
86,-1164.95,1.325,6.7716666666666665,193
87,-1220.3999999999994,1.365,7.62,190
88,-1050.95,1.205,5.841666666666667,188
89,-1174.4500000000005,1.315,7.328333333333333,212
90,-1347.9499999999998,1.5066666666666666,8.511666666666667,214
91,-1120.6499999999999,1.3,5.865,294
92,-1096.8499999999995,1.2566666666666666,6.171666666666667,202
93,-1093.9500000000003,1.275,5.605,216
94,-934.7999999999998,1.0816666666666668,4.95,250
95,-1267.1500000000005,1.4466666666666668,7.238333333333333,193
96,-1364.1000000000001,1.5333333333333334,8.38,260
97,-1095.5500000000002,1.2716666666666667,5.708333333333333,271
98,-1107.9500000000005,1.245,6.781666666666666,249
99,-1210.9500000000005,1.375,7.065,243
100,-1248.3999999999994,1.4083333333333334,7.533333333333333,233
101,-1143.1000000000004,1.3183333333333334,6.173333333333333,273
102,-1129.9499999999998,1.2766666666666666,6.765,149
103,-1324.1500000000017,1.5,7.858333333333333,335
104,-835.6,0.9883333333333333,3.8733333333333335,237
105,-1024.65,1.18,5.585,188
106,-1166.8,1.335,6.553333333333334,246
107,-1283.1000000000013,1.4416666666666667,7.88,246
108,-1241.6000000000006,1.4116666666666666,7.246666666666667,199
109,-1241.7500000000002,1.4216666666666666,6.971666666666667,257
110,-1377.7500000000011,1.5566666666666666,8.265,337
111,-1281.6500000000003,1.4233333333333333,8.311666666666667,281
112,-1178.9999999999998,1.3266666666666667,7.15,363
113,-1429.6000000000004,1.6133333333333333,8.613333333333333,372
114,-952.2499999999997,1.1,5.091666666666667,213
115,-1286.95,1.4616666666666667,7.528333333333333,312
